,"IC50, mM",MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MaxPartialCharge,MaxAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi1n,Chi2v,Chi4v,Ipc,Kappa3,PEOE_VSA13,PEOE_VSA14,PEOE_VSA3,PEOE_VSA4,PEOE_VSA6,PEOE_VSA7,SMR_VSA1,SMR_VSA10,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA12,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA7,SlogP_VSA8,EState_VSA1,EState_VSA10,EState_VSA4,EState_VSA5,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,NHOHCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticHeterocycles,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_COO,fr_Ar_OH,fr_C_O,fr_C_S,fr_Imine,fr_NH2,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_alkyl_carbamate,fr_alkyl_halide,fr_amidine,fr_aniline,fr_benzene,fr_bicyclic,fr_ester,fr_furan,fr_halogen,fr_hdrzine,fr_imidazole,fr_lactone,fr_nitro,fr_piperdine,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_tetrazole,fr_thiazole,fr_unbrch_alkane
135,818.7013213839327,15.4457671957672,0.2008052248677252,-1.452220923091458,0.8254434953417543,33.88461538461539,0.2027772128193575,0.4927029063187242,1.153846153846154,1.769230769230769,2.307692307692307,9.712029938494426,2.507895477321846,-2.47725102196119,2.498171970628598,-2.526582677596096,-0.1833724325812187,2.623591923271753,1.985422777244497,674.4371106984361,8.810068959540224,7.265385920083754,4.039724064422293,593351.5493671396,3.162297502050996,0.0,0.0,4.39041504767482,0.0,6.076020106833881,43.53758618099674,28.44439425771572,0.0,5.917906046161393,50.66977662722385,21.3293926238326,17.24853549985172,14.21058886140015,4.39041504767482,0.0,4.736862953800049,5.917906046161393,38.35653552467856,0.0,0.0,23.98065898199059,5.106527394840706,11.13655602176626,21.3293926238326,0.0,18.9474518152002,37.76477358652751,10.52414208740327,0.1115042152395611,1.104835128495843,0.7952499124586057,3.446682208951329,4.613268265307857,0.6,1,1,1,2,0,6,4,0,1,1,3,3.597700000000002,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
136,81.87013213839327,15.53308059334845,0.1595467214663642,-1.484410785147392,0.8254434953417543,33.88461538461539,0.1315982596107842,0.4964805337197428,1.153846153846154,1.769230769230769,2.307692307692307,9.710907094151544,2.515512431653923,-2.478648136150546,2.515767520132668,-2.527180510033659,-0.1839171644509627,2.624123898227018,2.037249112267169,674.4371106984361,8.810068959540224,7.252305836508818,4.076110428438025,589614.3986926286,3.162297502050996,0.0,0.0,4.39041504767482,0.0,6.076020106833881,25.84140055237652,28.44439425771572,0.0,5.917906046161393,50.66977662722385,21.3293926238326,17.24853549985172,14.21058886140015,4.39041504767482,0.0,4.736862953800049,5.917906046161393,38.35653552467856,0.0,0.0,23.98065898199059,5.106527394840706,5.573104530069267,0.0,0.0,18.9474518152002,38.03051626940313,10.56249289995051,-0.03173298241727995,1.221610869656505,0.6051267181191409,3.432394972451791,4.641247998867948,0.6,1,1,1,2,0,6,4,0,1,1,3,3.597700000000002,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
137,818.7013213839327,15.48942389455782,0.1801759731670447,-1.468315854119425,0.8254434953417543,33.88461538461539,0.1639299383669791,0.496225462805583,1.115384615384615,1.730769230769231,2.346153846153846,9.71148199910778,2.511356193462437,-2.477941234647878,2.504601769553572,-2.526877969515557,-0.1836425124566703,2.624928354811835,2.007751663316422,699.687110698436,8.810068959540224,7.255854346224432,4.04375715403352,595320.6262295501,3.162297502050996,0.0,0.0,4.39041504767482,0.0,6.076020106833881,31.90776762083813,28.44439425771572,0.0,5.917906046161393,50.66977662722385,21.3293926238326,17.24853549985172,14.21058886140015,4.39041504767482,0.0,4.736862953800049,5.917906046161393,38.35653552467856,0.0,0.0,23.98065898199059,5.106527394840706,5.573104530069267,0.0,0.0,18.9474518152002,37.86053608442791,10.54331749367689,0.03988561641114041,1.221463739816915,0.7001883152888733,3.43953859070156,4.64121882747717,0.6,1,1,1,2,0,6,4,0,1,1,3,3.597700000000002,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
138,96.52540709590443,15.07584402382352,0.291897955684332,-1.355754558767951,0.7867689376961003,39.57142857142857,0.1163381916603859,0.3860349385575367,1.333333333333333,2.0,2.666666666666667,9.712439937957063,2.505086751408827,-2.476834266114293,2.477974759993562,-2.526477632989412,-0.1833198975051135,2.428657462893503,1.899498187929564,552.4134650209727,7.32860055562412,6.794699668380266,3.555883207964994,54421.35642851761,2.74582278356547,0.0,0.0,4.39041504767482,0.0,29.80969413398962,43.53758618099674,14.23380539631557,11.60093989023252,5.917906046161393,50.66977662722385,0.0,0.0,0.0,4.39041504767482,11.60093989023252,4.736862953800049,5.917906046161393,38.35653552467856,5.022633313741326,0.0,17.87669259424228,5.106527394840706,11.13655602176626,0.0,0.0,16.33780284403257,21.13649736849472,10.97812904174015,0.4127058531746042,-0.291897955684332,1.283601326111847,3.4891262274304,0.0,0.5294117647058824,1,1,1,2,0,4,1,0,1,1,3,4.225300000000003,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
139,25.90606460972514,10.8135647973181,0.06967573346210942,-0.8557545587679516,0.7830524788528067,39.57142857142857,0.1012896273613871,0.3896607609327168,1.285714285714286,1.952380952380952,2.619047619047619,9.70271090061566,2.491521709690158,-2.490052889565494,2.458651746022594,-2.545250976672375,-0.20608176333478,2.428657462893503,1.899498187929564,549.6585775188092,7.363225116869486,6.873797991433423,3.588258070388886,54421.35642851761,2.756125751693816,0.0,0.0,0.0,0.0,29.80969413398962,43.53758618099674,14.94991774348146,11.60093989023252,5.917906046161393,50.60206761946186,0.0,0.0,0.0,0.0,11.60093989023252,4.736862953800049,5.917906046161393,38.35653552467856,5.022633313741326,0.0,11.70501719873199,10.21305478968141,17.55737764469227,0.0,0.0,16.33780284403257,6.140653344671202,21.87849939461381,1.048261408730159,-0.06967573346210942,2.040823548334068,3.752164776183235,0.0,0.5294117647058824,2,1,1,2,0,4,1,0,1,1,3,3.248100000000002,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
140,311.1852423510667,15.1219071239607,0.01210642899134928,-1.464743756298815,0.5140462784775464,36.95652173913044,0.2689451134759582,0.3860349385575363,1.391304347826087,2.043478260869565,2.652173913043478,9.712336963993858,2.505670688111054,-2.476636900354737,2.4785198980195,-2.526487778513601,-0.3844569640832305,2.501908961203418,1.874587936059003,640.4983818451536,7.728373488539597,6.655354672504497,3.56315269460041,135383.2977086394,2.883446794109003,5.687386274683562,0.0,4.39041504767482,0.0,6.076020106833881,43.53758618099674,19.15711644513324,5.687386274683562,5.917906046161393,50.66977662722385,0.0,0.0,0.0,10.07780132235838,0.0,4.736862953800049,16.03222431492696,38.35653552467856,0.0,0.0,28.90397003080826,15.22084566360628,5.573104530069267,12.13273413692322,0.0,4.736862953800049,21.11626936885866,21.07094267114559,0.012715215939198,-0.379168188880491,0.6661626421051008,3.363192082388511,0.0,0.5294117647058824,1,1,1,2,0,6,2,0,1,1,3,3.480100000000003,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
141,288.0752502653737,10.81962789745528,0.01914357100865072,-0.9647437562988159,0.4961757690083295,36.95652173913044,0.2689451134681142,0.3896607609323032,1.347826086956522,2.0,2.608695652173913,9.702614369719504,2.492154352899119,-2.489870402914215,2.459290439768862,-2.545259445150411,-0.3844573291444493,2.501908961203418,1.874587936059003,636.8887413707168,7.762998049784962,6.734452995557654,3.595527557024303,135383.2977086394,2.893647186950819,5.687386274683562,0.0,0.0,0.0,6.076020106833881,43.53758618099674,19.87322879229913,5.687386274683562,5.917906046161393,50.60206761946186,0.0,0.0,0.0,5.687386274683562,0.0,4.736862953800049,16.03222431492696,38.35653552467856,0.0,0.0,28.83626102304627,20.32737305844698,11.13655602176626,12.13273413692322,0.0,4.736862953800049,6.07436224489796,31.96612612415642,0.6795207714947532,-0.1569459666582684,1.423384864327323,3.626230631141345,0.0,0.5294117647058824,2,1,1,2,0,6,2,0,1,1,3,2.5029,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
142,339.7373830029387,15.02783304988662,0.2216335978835979,-1.41651844765684,0.800090131241496,39.57142857142857,0.1227304769856014,0.3860349385575367,1.285714285714286,1.952380952380952,2.619047619047619,9.712409119706003,2.505161032437599,-2.476761293571967,2.477157962916883,-2.52650825384549,-0.1833283395017687,2.428657462893503,1.899498187929564,550.4134650209727,7.32860055562412,6.358263887908281,3.429895050295251,54421.35642851761,2.623545100095541,0.0,0.0,8.78083009534964,0.0,18.2087542437571,43.53758618099674,18.6242204439904,0.0,5.917906046161393,50.66977662722385,0.0,0.0,0.0,8.78083009534964,0.0,4.736862953800049,11.73512688720729,38.35653552467856,0.0,0.0,23.98065898199059,9.496942442515525,11.13655602176626,12.13273413692322,0.0,4.736862953800049,34.03462172758732,10.29393917443521,0.1574975198412708,-0.666830173427396,0.9164082260799418,3.408975675899377,0.0,0.5294117647058824,1,1,1,2,0,4,1,0,1,1,3,3.711000000000003,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
143,218.9126880425785,13.05019177041927,0.1176867073990093,-0.9165184476568404,0.7825344841208695,39.57142857142857,0.1227304769778705,0.3896607609326124,1.285714285714286,1.952380952380952,2.619047619047619,9.70268195143462,2.491601663983332,-2.489985854815061,2.457679128165418,-2.545278078057416,-0.2060884316597449,2.428657462893503,1.899498187929564,549.6585775188092,7.363225116869486,6.437362210961438,3.462269912719144,54421.35642851761,2.633638783369934,0.0,0.0,4.39041504767482,0.0,18.2087542437571,43.53758618099674,19.34033279115628,0.0,5.917906046161393,50.60206761946186,0.0,0.0,0.0,4.39041504767482,0.0,4.736862953800049,11.73512688720729,38.35653552467856,0.0,0.0,17.8089835864803,14.60346983735623,11.13655602176626,12.13273413692322,0.0,4.736862953800049,19.11148003572539,21.11504855337197,0.793053075396826,-0.4133579512051735,1.673630448302164,3.672014224652212,0.0,0.5294117647058824,2,1,1,2,0,4,1,0,1,1,3,2.733800000000001,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
144,45.39882871021928,10.6808701814059,0.07184051398337132,-0.8625462962962964,0.7631873785572959,42.63157894736842,0.1321601255515751,0.4665855432192966,1.421052631578947,2.210526315789474,2.894736842105263,9.706815665799962,2.497495024797437,-2.483748137124813,2.457951253567864,-2.544947451772012,-0.209775822550324,2.8660740593331,1.907657029469888,474.3448315406259,6.74804388220788,5.901230564536548,3.230547781809414,29377.25910816427,2.137131253524415,0.0,0.0,0.0,0.0,6.076020106833881,37.97413468929975,19.36706868053481,0.0,5.917906046161393,50.60206761946186,0.0,0.0,0.0,0.0,0.0,4.736862953800049,5.917906046161393,38.55333145185601,0.0,0.0,11.70501719873199,10.21305478968141,11.99392615299528,0.0,0.0,9.154013890853395,11.38420162509448,20.96625472411187,0.05147675736961455,0.6347623771730915,3.504246504157217,3.722029242252456,0.0,0.6,2,1,1,2,1,4,1,0,1,1,3,2.1877,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
145,123.0321841008864,10.70346277399849,0.09578703703703728,-0.6383796296296296,0.8312428716680124,44.61111111111111,0.1321573436946729,0.4665855665452985,1.388888888888889,2.222222222222222,2.944444444444445,9.686957401654128,2.478017732090996,-2.486118704960674,2.471619392493593,-2.509957589863894,-0.2012231901561175,2.79880481760524,1.821839909881013,395.8810299049061,6.973008240055112,6.264610231964608,3.618428863102187,18858.3468610241,2.100359091033688,0.0,0.0,0.0,0.0,13.34455882261663,37.81602062862726,14.2605412856941,0.0,11.83581209232279,57.33974447756559,0.0,0.0,0.0,0.0,0.0,4.736862953800049,11.83581209232279,51.39497469770804,0.0,0.0,5.601050810983688,5.106527394840706,18.60189066472646,6.42082162292601,6.923737199690624,9.154013890853395,11.62377243953137,10.70346277399849,-0.6383796296296296,1.809504440665155,5.709743165784833,4.226103316326531,0.0,0.7333333333333333,1,1,1,2,1,3,1,1,1,2,3,3.296800000000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
146,375.3683301739832,10.74975907029479,0.08939814814814784,-0.5717129629629627,0.8382460470837954,44.61111111111111,0.09475497416386805,0.3896743414885138,1.444444444444444,2.277777777777778,3.0,9.687689047202825,2.473647905797037,-2.48937706659041,2.477450585935917,-2.50938720156496,-0.1964962134933997,2.79880481760524,1.821839909881013,398.6359174070696,6.973008240055112,7.243882540127064,4.380502873202603,18858.3468610241,2.238469781249054,0.0,0.0,0.0,0.0,19.41092589107824,37.12971633063157,9.843390348640755,11.33678587793474,11.83581209232279,57.33974447756559,0.0,0.0,0.0,0.0,11.33678587793474,4.736862953800049,11.83581209232279,50.5118744725349,0.0,0.0,5.601050810983688,5.106527394840706,25.18037091493942,11.29796881662731,24.43653410707976,4.736862953800049,6.291180555555556,12.83606016943815,-0.5717129629629627,1.050044406651549,4.502478820231796,4.298441279289493,0.0,0.7333333333333333,1,1,1,2,1,3,1,1,1,2,3,3.765300000000003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
